path,base_branches,head_branches,added_branches,base_lines,head_lines,added_lines
api/HelixNote.Api.Authorization.fs,113,125,12,369,402,33
api/HelixNote.Api.CorrectionHandlers.fs,181,210,29,1299,1516,217
api/HelixNote.Data.fs,64,66,2,832,887,55
api/Program.fs,23,23,0,445,450,5
domain/HelixNote.Semantic.Host.Postgres.Tests/FieldVocabularyAgreementTests.fs,12,12,0,137,152,15
domain/HelixNote.Semantic.Host.Postgres.Tests/IntegrationTests.fs,78,82,4,685,753,68
domain/HelixNote.Semantic.Host.Postgres/CorrectionHost.fs,70,75,5,466,481,15
domain/HelixNote.Semantic.Host.Postgres/CorrectionReader.fs,61,70,9,355,383,28
domain/HelixNote.Semantic.Host.Postgres/PostgresHost.fs,60,63,3,605,627,22
domain/HelixNote.Semantic.Tests/Fixtures.fs,9,10,1,127,145,18
domain/HelixNote.Semantic.Tests/StateSystemTests.fs,132,152,20,956,1117,161
domain/HelixNote.Semantic/Protocol.fs,92,98,6,413,452,39
domain/HelixNote.Semantic/Provenance.fs,53,59,6,238,270,32
web-bolero/src/HelixNote.Bolero.Client/Main.fs,1056,1061,5,7283,7321,38
TOTAL,,,102,,,746
FILES_TOUCHED,14
FILES_CREATED,0
